R2-D2
CHEWBACCA
C-3PO
LUKE
DARTH VADER
CAMIE
BIGGS
LEIA
BERU
OWEN
OBI-WAN
MOTTI
TARKIN
HAN SOLO
GREEDO
JABBA
DODONNA
GOLD LEADER
WEDGE
RED LEADER
RED TEN
GOLD FIVE
YODA
BOBA FETT
PALPATINE
DARK MAUL
REY
MAZ KANATA
FINN
LANDO
WAMPA
WATTO
OSCAR ISAAC 
